TF	TFAs Ave.(E)_A375	TFAs Ave.(IE)_A375	TTS_A375	p_val_A375	FDR_A375	negLog10_FDR_A375	TFAs Ave.(E)_HT29	TFAs Ave.(IE)_HT29	TTS_HT29	p_val_HT29	FDR_HT29	negLog10_FDR_HT29	TTS_SUM
EHMT2	-0.485	0.027	-5.849	1.570e-08	9.842e-06	5.007	-0.401	-0.162	-2.431	1.653e-02	1.000e+00	-0.000	-8.280
PGR	-0.497	-0.038	-6.355	9.043e-10	5.670e-07	6.246	-0.054	0.148	-1.945	5.447e-02	1.000e+00	-0.000	-8.300
PTTG1	-0.577	0.004	-4.766	3.670e-06	2.301e-03	2.638	-0.671	-0.245	-3.698	3.320e-04	2.081e-01	0.682	-8.464
GTF3A	-0.659	0.278	-7.603	7.742e-13	4.854e-10	9.314	0.005	0.137	-0.992	3.230e-01	1.000e+00	-0.000	-8.595
ARID3A	-0.215	-0.045	-4.086	5.951e-05	3.731e-02	1.428	-0.187	-0.001	-4.587	9.278e-06	5.817e-03	2.235	-8.673
TSC22D1	-0.313	0.133	-5.103	6.864e-07	4.304e-04	3.366	-0.395	-0.044	-3.590	4.734e-04	2.968e-01	0.527	-8.693
JUNB	-0.417	-0.079	-4.377	1.818e-05	1.140e-02	1.943	-0.716	-0.179	-4.415	2.269e-05	1.423e-02	1.847	-8.792
ELF2	-0.266	-0.051	-3.564	4.407e-04	2.763e-01	0.559	-0.455	-0.105	-5.466	2.160e-07	1.354e-04	3.868	-9.030
MAX	-0.568	-0.185	-2.694	7.612e-03	1.000e+00	-0.000	-1.432	-0.310	-6.375	3.992e-09	2.503e-06	5.602	-9.069
SFPQ	-0.423	-0.076	-5.133	6.347e-07	3.979e-04	3.400	-0.527	-0.205	-3.969	1.297e-04	8.132e-02	1.090	-9.102
TLE3	-0.161	0.076	-5.975	7.035e-09	4.411e-06	5.355	-0.248	-0.104	-3.134	2.165e-03	1.000e+00	-0.000	-9.109
L3MBTL1	-0.161	0.076	-5.975	7.035e-09	4.411e-06	5.355	-0.248	-0.104	-3.134	2.165e-03	1.000e+00	-0.000	-9.109
STAT4	-0.043	0.319	-3.898	1.285e-04	8.056e-02	1.094	-0.914	-0.245	-5.232	8.700e-07	5.455e-04	3.263	-9.130
MTA2	-0.332	0.041	-4.738	3.475e-06	2.179e-03	2.662	-0.468	-0.109	-4.412	2.035e-05	1.276e-02	1.894	-9.150
RBBP7	-0.433	0.037	-4.521	9.294e-06	5.827e-03	2.235	-0.632	-0.120	-4.639	8.462e-06	5.306e-03	2.275	-9.160
TCF12	-0.433	0.037	-4.521	9.294e-06	5.827e-03	2.235	-0.632	-0.120	-4.639	8.462e-06	5.306e-03	2.275	-9.160
ZNF217	-0.433	0.037	-4.521	9.294e-06	5.827e-03	2.235	-0.632	-0.120	-4.639	8.462e-06	5.306e-03	2.275	-9.160
POU3F2	-0.359	-0.090	-5.645	3.750e-08	2.351e-05	4.629	-0.125	0.093	-3.637	3.852e-04	2.415e-01	0.617	-9.282
APEX1	-0.304	-0.009	-3.706	2.629e-04	1.649e-01	0.783	-0.645	-0.115	-5.657	1.068e-07	6.693e-05	4.174	-9.363
RNF14	-0.769	-0.244	-3.447	7.025e-04	4.404e-01	0.356	-0.810	-0.029	-5.927	2.323e-08	1.456e-05	4.837	-9.374
MTF1	-0.227	0.129	-4.339	2.070e-05	1.298e-02	1.887	-0.714	-0.101	-5.039	1.670e-06	1.047e-03	2.980	-9.378
HDAC4	-0.512	-0.087	-4.480	1.079e-05	6.765e-03	2.170	-0.585	0.020	-4.899	2.901e-06	1.819e-03	2.740	-9.379
SNAI1	-0.487	0.070	-4.799	2.804e-06	1.758e-03	2.755	-0.884	-0.229	-4.737	6.267e-06	3.930e-03	2.406	-9.536
SMURF2	-0.570	-0.118	-4.812	2.528e-06	1.585e-03	2.800	-0.585	0.072	-4.736	6.701e-06	4.202e-03	2.377	-9.548
ZNF24	-0.596	0.078	-5.022	1.012e-06	6.346e-04	3.197	-0.525	0.214	-4.573	1.135e-05	7.117e-03	2.148	-9.595
SALL3	-0.683	-0.118	-5.301	2.406e-07	1.509e-04	3.821	-0.618	-0.130	-4.328	2.722e-05	1.707e-02	1.768	-9.629
PPARA	-0.489	-0.041	-4.318	2.172e-05	1.362e-02	1.866	-0.783	-0.203	-5.409	2.418e-07	1.516e-04	3.819	-9.727
MED1	-0.630	-0.316	-4.459	1.337e-05	8.384e-03	2.077	-0.711	-0.177	-5.414	3.917e-07	2.456e-04	3.610	-9.873
NRIP1	-0.472	-0.061	-4.792	2.978e-06	1.867e-03	2.729	-0.658	-0.092	-5.171	9.835e-07	6.167e-04	3.210	-9.963
CEBPZ	-0.627	0.079	-6.974	2.558e-11	1.604e-08	7.795	-0.271	0.105	-3.237	1.508e-03	9.452e-01	0.024	-10.211
SALL4	-0.640	-0.106	-5.953	9.494e-09	5.953e-06	5.225	-0.527	-0.094	-4.266	4.053e-05	2.541e-02	1.595	-10.219
ELK1	-0.492	-0.008	-4.627	6.589e-06	4.131e-03	2.384	-0.649	-0.025	-5.727	7.776e-08	4.875e-05	4.312	-10.354
HOXA1	-0.513	-0.011	-3.651	3.468e-04	2.175e-01	0.663	-1.118	-0.158	-6.823	4.317e-10	2.707e-07	6.568	-10.474
CREB1	-0.384	0.042	-4.938	1.633e-06	1.024e-03	2.990	-0.677	-0.128	-5.578	1.510e-07	9.465e-05	4.024	-10.516
GFI1B	-0.801	0.132	-6.792	1.401e-10	8.786e-08	7.056	-0.323	0.138	-3.767	2.388e-04	1.497e-01	0.825	-10.559
ZNF383	-0.761	-0.163	-5.322	2.746e-07	1.721e-04	3.764	-0.641	-0.133	-5.297	5.516e-07	3.459e-04	3.461	-10.619
ZEB1	-0.733	-0.108	-6.994	2.303e-11	1.444e-08	7.840	-0.759	-0.266	-3.907	1.623e-04	1.018e-01	0.992	-10.901
ZFP36L1	-0.666	0.097	-6.372	7.681e-10	4.816e-07	6.317	-0.614	0.114	-4.534	1.371e-05	8.595e-03	2.066	-10.906
TEAD4	-0.666	0.097	-6.372	7.681e-10	4.816e-07	6.317	-0.614	0.114	-4.534	1.371e-05	8.595e-03	2.066	-10.906
TRAF6	-0.666	0.097	-6.372	7.681e-10	4.816e-07	6.317	-0.614	0.114	-4.534	1.371e-05	8.595e-03	2.066	-10.906
MZF1	-0.634	-0.026	-5.481	1.019e-07	6.389e-05	4.195	-0.879	0.076	-5.517	1.774e-07	1.112e-04	3.954	-10.998
NFIL3	-0.755	-0.074	-4.972	1.356e-06	8.501e-04	3.071	-1.100	-0.261	-6.096	1.420e-08	8.901e-06	5.051	-11.068
HTATIP2	-0.933	-0.024	-7.200	6.568e-12	4.118e-09	8.385	-0.373	0.328	-3.909	1.492e-04	9.353e-02	1.029	-11.109
STAT5A	-0.519	-0.135	-4.425	1.513e-05	9.484e-03	2.023	-0.757	-0.106	-6.727	5.532e-10	3.469e-07	6.460	-11.152
ZNF202	-0.535	-0.133	-4.891	1.894e-06	1.188e-03	2.925	-0.761	-0.254	-6.316	4.198e-09	2.632e-06	5.580	-11.207
PITX2	-0.402	0.161	-7.109	1.467e-11	9.201e-09	8.036	-0.484	-0.131	-4.221	4.720e-05	2.960e-02	1.529	-11.330
POU2F2	-0.816	-0.329	-5.029	1.043e-06	6.539e-04	3.185	-0.888	-0.190	-6.336	5.586e-09	3.502e-06	5.456	-11.365
AHR	-0.578	0.078	-5.776	2.454e-08	1.539e-05	4.813	-0.504	0.248	-5.741	7.278e-08	4.563e-05	4.341	-11.517
SERTAD1	-0.598	0.007	-5.719	3.326e-08	2.085e-05	4.681	-0.873	-0.198	-5.916	2.864e-08	1.796e-05	4.746	-11.635
EZH2	-1.147	-0.347	-7.845	1.743e-13	1.093e-10	9.961	-0.880	-0.338	-3.906	1.560e-04	9.780e-02	1.010	-11.751
HES1	-0.690	-0.146	-5.992	6.811e-09	4.271e-06	5.369	-0.754	-0.152	-5.860	3.337e-08	2.092e-05	4.679	-11.852
HIPK2	-0.305	0.416	-6.495	3.998e-10	2.507e-07	6.601	-0.881	0.076	-5.451	2.632e-07	1.650e-04	3.782	-11.946
RAD51	-0.379	-0.092	-5.050	8.462e-07	5.306e-04	3.275	-0.428	-0.022	-6.911	1.829e-10	1.147e-07	6.941	-11.961
HSF1	-1.059	-0.325	-6.105	4.193e-09	2.629e-06	5.580	-0.917	-0.117	-5.878	2.953e-08	1.852e-05	4.732	-11.983
PIAS3	-0.820	-0.158	-7.450	2.350e-12	1.473e-09	8.832	-0.729	-0.203	-4.735	5.944e-06	3.727e-03	2.429	-12.185
WWP1	-0.314	0.050	-5.506	8.439e-08	5.291e-05	4.276	-0.459	0.025	-6.828	1.395e-10	8.745e-08	7.058	-12.334
ZFP36	-0.627	-0.091	-6.146	3.311e-09	2.076e-06	5.683	-0.693	-0.016	-6.275	6.730e-09	4.220e-06	5.375	-12.421
JDP2	-1.733	-0.497	-8.382	4.971e-15	3.117e-12	11.506	-0.774	-0.173	-4.054	9.046e-05	5.672e-02	1.246	-12.436
FOSL2	-0.607	-0.160	-5.703	3.757e-08	2.356e-05	4.628	-0.622	-0.064	-6.807	3.720e-10	2.333e-07	6.632	-12.510
NKX2-5	-0.722	0.089	-7.435	2.508e-12	1.572e-09	8.803	-0.528	0.015	-5.154	8.244e-07	5.169e-04	3.287	-12.589
PITX1	-0.542	-0.003	-6.882	4.626e-11	2.901e-08	7.538	-0.865	-0.220	-6.078	1.430e-08	8.965e-06	5.047	-12.960
CHD8	-1.197	-0.431	-7.563	6.762e-13	4.240e-10	9.373	-0.929	-0.260	-5.649	7.493e-08	4.698e-05	4.328	-13.212
PHB2	-0.863	-0.301	-6.441	6.587e-10	4.130e-07	6.384	-0.749	-0.101	-6.898	2.430e-10	1.523e-07	6.817	-13.339
HDAC10	-0.927	-0.229	-6.034	5.453e-09	3.419e-06	5.466	-1.333	-0.359	-7.450	7.346e-12	4.606e-09	8.337	-13.484
POU4F2	-1.166	-0.380	-5.670	5.305e-08	3.326e-05	4.478	-1.082	-0.083	-7.857	1.299e-12	8.143e-10	9.089	-13.527
FOXM1	-0.519	0.230	-7.820	2.158e-13	1.353e-10	9.869	-0.649	0.009	-5.809	5.192e-08	3.255e-05	4.487	-13.629
TSC22D3	-1.535	-0.638	-5.911	1.815e-08	1.138e-05	4.944	-1.721	-0.459	-7.945	1.847e-12	1.158e-09	8.936	-13.856
HCFC1	-0.567	-0.114	-9.257	1.827e-17	1.146e-14	13.941	-0.332	-0.001	-5.333	5.162e-07	3.236e-04	3.490	-14.590
POU4F1	-0.909	-0.304	-7.979	7.745e-14	4.856e-11	10.314	-0.750	-0.091	-7.668	4.803e-12	3.012e-09	8.521	-15.647
CDX1	-0.960	-0.014	-8.205	2.897e-14	1.816e-11	10.741	-1.548	-0.294	-7.523	2.078e-11	1.303e-08	7.885	-15.728
SATB1	-1.060	-0.379	-8.835	1.126e-16	7.063e-14	13.151	-0.908	-0.184	-7.392	1.943e-11	1.218e-08	7.914	-16.227
TCF7L2	-1.138	-0.372	-7.745	3.186e-13	1.997e-10	9.700	-1.431	-0.315	-8.561	9.630e-14	6.038e-11	10.219	-16.306
MYC	-1.164	-0.296	-8.106	4.050e-14	2.539e-11	10.595	-1.963	-0.552	-8.562	1.194e-13	7.485e-11	10.126	-16.668
TP53BP1	-1.016	-0.224	-9.165	2.501e-17	1.568e-14	13.805	-1.082	-0.209	-10.369	1.810e-18	1.135e-15	14.945	-19.534
E2F1	-1.841	-0.574	-11.570	3.203e-24	2.009e-21	20.697	-1.754	-0.354	-8.704	6.953e-14	4.359e-11	10.361	-20.274
TFDP1	-2.337	-0.577	-11.331	2.240e-23	1.405e-20	19.852	-2.169	-0.357	-9.720	2.922e-16	1.832e-13	12.737	-21.051
MYCN	-1.881	-0.469	-10.447	6.759e-21	4.238e-18	17.373	-2.268	-0.463	-10.762	1.150e-18	7.210e-16	15.142	-21.209
