TF	TFAs Ave.(E)_A375	TFAs Ave.(IE)_A375	TTS_A375	p_val_A375	FDR_A375	negLog10_FDR_A375	TFAs Ave.(E)_HT29	TFAs Ave.(IE)_HT29	TTS_HT29	p_val_HT29	FDR_HT29	negLog10_FDR_HT29	TTS_SUM
MXI1	-0.166	-0.255	0.787	4.325e-01	1.000e+00	-0.000	1.013	0.212	5.256	9.327e-07	5.848e-04	3.233	6.043
ENO1	-0.166	-0.255	0.787	4.325e-01	1.000e+00	-0.000	1.013	0.212	5.256	9.327e-07	5.848e-04	3.233	6.043
PTMA	0.376	-0.059	3.420	7.312e-04	4.585e-01	0.339	0.403	-0.036	2.614	1.004e-02	1.000e+00	-0.000	6.034
TCF3	0.741	0.438	3.903	1.237e-04	7.755e-02	1.110	0.358	0.181	2.126	3.547e-02	1.000e+00	-0.000	6.029
NCOA1	0.761	0.475	2.968	3.338e-03	1.000e+00	-0.000	0.433	0.146	3.016	3.149e-03	1.000e+00	-0.000	5.984
KLF14	0.569	0.246	2.554	1.130e-02	1.000e+00	-0.000	0.627	0.098	3.420	8.466e-04	5.308e-01	0.275	5.974
GCM1	0.245	0.157	1.320	1.881e-01	1.000e+00	-0.000	0.449	0.085	4.621	9.043e-06	5.670e-03	2.246	5.941
SRCAP	0.366	0.110	2.919	3.828e-03	1.000e+00	-0.000	0.341	0.021	2.933	3.987e-03	1.000e+00	-0.000	5.852
MAF	0.192	-0.068	2.814	5.251e-03	1.000e+00	-0.000	0.197	-0.147	2.951	3.796e-03	1.000e+00	-0.000	5.765
TBP	0.322	-0.081	5.417	1.531e-07	9.597e-05	4.018	0.081	0.050	0.346	7.296e-01	1.000e+00	-0.000	5.763
TOP2B	0.061	-0.110	4.516	9.251e-06	5.800e-03	2.237	0.146	0.093	1.162	2.475e-01	1.000e+00	-0.000	5.678
KDM2A	0.583	0.295	2.162	3.163e-02	1.000e+00	-0.000	1.075	0.545	3.481	6.779e-04	4.250e-01	0.372	5.643
PPARGC1A	0.310	-0.189	4.468	1.152e-05	7.226e-03	2.141	0.071	-0.101	1.165	2.463e-01	1.000e+00	-0.000	5.633
HOXA9	0.192	-0.014	2.666	8.210e-03	1.000e+00	-0.000	0.175	-0.035	2.845	5.190e-03	1.000e+00	-0.000	5.511
REL	0.728	0.345	3.207	1.546e-03	9.695e-01	0.013	0.217	-0.044	2.203	2.919e-02	1.000e+00	-0.000	5.410
TAF1	0.849	0.597	2.324	2.112e-02	1.000e+00	-0.000	0.492	0.152	3.061	2.750e-03	1.000e+00	-0.000	5.385
SP4	0.542	0.191	4.343	2.058e-05	1.290e-02	1.889	0.237	0.126	1.041	3.004e-01	1.000e+00	-0.000	5.384
FOXO4	0.559	0.364	1.721	8.643e-02	1.000e+00	-0.000	0.961	0.450	3.660	3.783e-04	2.372e-01	0.625	5.381
ABL1	0.782	0.286	5.463	1.276e-07	8.000e-05	4.097	-0.059	-0.052	-0.088	9.300e-01	1.000e+00	-0.000	5.375
