TF	TFAs Ave.(E)	TFAs Ave.(IE)	TTS	p_val	FDR	negLog10_FDR
STAT6	-0.28695429186091304	-0.24149158475186336	-0.3895089037925538	0.6976113535980615	1.0	-0.0
TBPL1	-0.08404995647579956	-0.06698577522848209	-0.4180599922034018	0.6765944652547379	1.0	-0.0
RBPJ	-0.018459855672408806	0.02357740852689976	-0.429579085201144	0.668241687246074	1.0	-0.0
SMARCA1	-0.42870121602573674	-0.3770457051018809	-0.4812085167436617	0.6311046561036626	1.0	-0.0
SMARCB1	-0.42870121602573674	-0.3770457051018809	-0.4812085167436617	0.6311046561036626	1.0	-0.0
BRD7	0.12923429019923058	0.184315772835621	-0.5223129708083519	0.602439460642409	1.0	-0.0
FOXL2	0.2965850926093169	0.368614458088029	-0.538403146264628	0.5912805938128591	1.0	-0.0
ID1	-0.07805804964049556	-0.03544750815718934	-0.5392510884821617	0.5906231000948836	1.0	-0.0
SP3	0.134182171166359	0.18365187837270458	-0.5575912451985923	0.5782400990860206	1.0	-0.0
KLF15	-0.029837299688695074	0.006564123632451326	-0.5736664502358663	0.5672308022394609	1.0	-0.0
OTX2	0.20455261171848335	0.2514867796963445	-0.586834244392336	0.5580822955376721	1.0	-0.0
SKIL	-0.04577597717144998	0.011277022010912753	-0.6012692148565072	0.5488209543683586	1.0	-0.0
LMO3	-0.13580337348766575	-0.10180748300744287	-0.6114751724513801	0.5420902482018187	1.0	-0.0
FOXE1	0.22138292518982164	0.3161384530581145	-0.6286984317008477	0.5306262097374406	1.0	-0.0
ESRRA	0.08567514588834195	0.1725527773416138	-0.6333421181074428	0.5277887905914418	1.0	-0.0
GFI1	-0.02404438163751462	0.04490450141762296	-0.6511391733893763	0.51611482829736	1.0	-0.0
PCBD1	-0.21512999038826977	-0.11252555628824645	-0.655992424948396	0.5130059920210923	1.0	-0.0
NFIX	-0.14488480393187178	-0.04718354474396284	-0.6563487402010386	0.5128469708606289	1.0	-0.0
AR	-0.04593370467331315	0.004494006270103288	-0.6598835487323833	0.5103919696261396	1.0	-0.0
ESR2	0.07892504256955687	0.1539556573709543	-0.729557714447461	0.4667592603959083	1.0	-0.0
FOXL1	-0.040767781205101696	0.06584688724017633	-0.7601534554928286	0.448736539438346	1.0	-0.0
ZNRD1	-0.0440752295806499	0.022391005052569676	-0.8231272862163135	0.4118518253243091	1.0	-0.0
TBX5	-0.15113505237301048	-0.09264438240371489	-0.8537203559009439	0.39474108677788666	1.0	-0.0
PHOX2A	0.06605375441157703	0.12488249719323767	-0.8609668185907043	0.3909315178709859	1.0	-0.0
DEK	-0.07577577250087084	-0.028201037234751584	-0.888710888173451	0.375353492154219	1.0	-0.0
SOX9	0.028408008644829816	0.07843042822479697	-0.8951361099848182	0.3723276496553798	1.0	-0.0
HSF4	-0.020188371674936555	0.044501305419654386	-0.9460131884451133	0.34589940131567487	1.0	-0.0
HNF1B	-0.15273829864657662	-0.07259466802437356	-0.9530167948688485	0.34220280724339436	1.0	-0.0
GLI3	0.059205511433209866	0.1089419884950837	-0.963573423178378	0.33681542218320015	1.0	-0.0
HEY2	0.08876243475522869	0.19432046268326053	-0.9705866174175622	0.3336500755882743	1.0	-0.0
HAND2	-0.018409366560733175	0.06100385290563409	-0.9725379822029914	0.3325686713033088	1.0	-0.0
ZNF175	-0.13279858702062944	-0.05945926983882963	-0.9775533304538895	0.33024230997715776	1.0	-0.0
SPIB	-0.33212308771610294	-0.2202194130294272	-0.9837849069492305	0.3269388118075306	1.0	-0.0
GTF3A	0.004853401401462376	0.13722546901038662	-0.9920872786324669	0.3230417954086642	1.0	-0.0
FOXA1	-0.21525523764109417	-0.1361903489520882	-1.0375997256524874	0.3009429635283526	1.0	-0.0
ELK4	-0.10950065889779403	0.04582459002140544	-1.0733583657473382	0.28528325594395176	1.0	-0.0
KLF8	-0.25859778034566494	-0.12252917741991032	-1.1046916139863947	0.27116420557915194	1.0	-0.0
FOSL1	-0.10804863352873578	-0.007962914316275724	-1.1132556306063188	0.26751502077991623	1.0	-0.0
PIAS4	-0.3419927270754959	-0.22806383168065195	-1.1153089952609898	0.2667594780096714	1.0	-0.0
RFX5	0.23517918531887488	0.42995073708842385	-1.1179359776096536	0.26577175435498374	1.0	-0.0
LRRFIP1	-0.013363136534244556	0.06516315533608903	-1.1355488536565022	0.25811185591294766	1.0	-0.0
TRIB3	-0.12332175868779686	-0.001791067673062312	-1.1517746121302102	0.25163820364481854	1.0	-0.0
THRB	0.09268942060014505	0.2346562577226656	-1.1542582649533328	0.2505099302704241	1.0	-0.0
BARD1	-0.10766772861874191	-0.04384193819791666	-1.1630865888676587	0.24688922293350382	1.0	-0.0
GATA1	-0.37316686346495914	-0.25670367142701805	-1.1700780535494115	0.24414028892375858	1.0	-0.0
SOX17	-0.0055824859674220885	0.08949926124432983	-1.175377008028426	0.2422427272575647	1.0	-0.0
